,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
5311,1001-5000,,3.92,hinduja-foundries,,Hinduja Foundries,89,231,3,63,Hinduja Foundries,hinduja,India,Chennai,0,chennai,23685,4,Industrial Equipment / Machinery,0
5312,10001-50000,,4.26,dubai-electricity-and-water-authority-dewa,Private,Dubai Electricity & Water Authority (DEWA),89,294,3,30,Dubai Electricity & Water Authority (DEWA),dubai-electricity-and-water-authority-dewa,United Arab Emirates (UAE),"Dubai,Dubai",0,,3686,1,Power,0
5313,5001-10000,501-1000,3.86,isolux-corsan,Private,Isolux Corsan,89,55,0,94,Isolux Corsan,isolux-corsan,Spain,Madrid,0,,6488,17,"Power,Engineering & Construction",0
5314,51-200,11-50,4.62,grivaa-capital,Private,Grivaa Capital,89,2,0,7,Grivaa Capital,grivaa-capital,India,New Delhi,0,new-delhi,755685,2,Financial Services,0
5315,201-500,51-200,4.11,lee-pharma,Private,Lee Pharma,89,484,4,25,Lee Pharma,lee-pharma,India,"Hyderabad/Secunderabad,Telangana",20,hyderabad,17178,3,"Biotech & Life sciences,Pharmaceutical & Life Sciences",0
5316,501-1000,,3.96,great-learning,,Great Learning,89,1007,9,9,Great Learning,great-learning,India,"Gurgaon,Haryana",54,gurgaon,616082,5,"Internet,e-Learning / EdTech",0
5317,201-500,201-500,2.96,chetana-publications-pvt-ltd,Private,Chetana Publications Pvt Ltd,89,266,0,47,Chetana Publications,chetana-publications-pvt-ltd,India,"Mumbai,Maharashtra",2,mumbai,471054,12,Printing & Publishing,0
5318,51-200,51-200,3.87,seabird-logisolutions,Public,SEABIRD LOGISOLUTIONS,89,339,10,17,SEABIRD LOGISOLUTIONS,seabird-logisolutions,India,"Mumbai,Maharashtra",1,mumbai,614316,14,Courier / Logistics,0
5319,201-500,501-1000,4.21,talentica-software,Private,Talentica Software,89,720,13,19,Talentica Software,talentica-software,India,"Pune,Maharashtra",8,pune,232405,0,IT Services & Consulting,0
5320,1001-5000,1001-5000,3.98,3f-industries,Public,3F Industries,130,371,2,62,3F Industries,3f-industries,India,"Prathipadu,Andhra Pradesh",13,prathipadu-andhra-pradesh,234665,13,"Food Processing,Import & Export,Power",0
5321,10001-50000,11-50,3.79,melco,Private,MELCO,88,292,0,27,MELCO,melco,India,Faridabad,0,faridabad,221743,18,"Import & Export,Industrial Equipment / Machinery,Manufacturing,Metals & Mining",0
5322,501-1000,501-1000,3.5700000000000003,natural-remedies-private-limited,Private,Natural Remedies Private Limited,88,291,4,71,Natural Remedies,natural,India,"Bangalore/Bengaluru,Karnataka",0,bengaluru,14930,8,"Financial Services,Pharmaceutical & Life Sciences",0
5323,1001-5000,,4.17,faber-sindoori-management-services,,Faber Sindoori Management Services,88,304,2,15,Faber Sindoori Management Services,faber-sindoori-management-services,India,Chennai,0,chennai,234096,15,Facility Management Services,0
5324,5001-10000,201-500,3.64,sodecia,Private,SODECIA,88,239,3,42,SODECIA,sodecia,Portugal,"Porto,Maia",0,,269455,6,"Automobile,Import & Export,Manufacturing,Auto Components",0
5325,201-500,201-500,4.01,tata-autocomp-gy-batteries-ltd-dot,Private,Tata Autocomp GY Batteries Ltd.,88,357,3,17,Tata Autocomp GY Batteries,tata-autocomp-gy-batteries-ltd-dot,India,Pune,0,pune,263648,20,"Automobile,Manufacturing,Auto Components",0
5326,501-1000,201-500,3.2800000000000002,ansal-housing-and-construction,Public,ansal housing & construction,88,252,2,39,Ansal Housing & Construction,ansal-housing-and-construction,India,"Delhi/NCR,New Delhi",0,,291984,12,"Real Estate,Engineering & Construction",0
5327,501-1000,501-1000,3.9699999999999998,indian-acrylics-ltd,Public,Indian Acrylics Ltd,88,320,2,29,Indian Acrylics,indian-acrylics-ltd,India,Chandigarh,0,chandigarh,280496,4,"Import & Export,Manufacturing,Textile & Apparel,Chemicals",0
5328,10001-50000,51-200,4.34,axalta-coating-systems,Private,Axalta Coating Systems,88,399,1,9,Axalta Coating Systems,axalta-coating-systems,United States (USA),"Philadelphia,New South Wales",0,,219367,16,Chemicals,0
5329,5001-10000,51-200,4.61,qd-sbg-construction,Sole proprietorship,qd-sbg construction,88,105,0,12,Qd-sbg Construction,qd-sbg-construction,Qatar,Doha,0,,282196,2,Engineering & Construction,0
5330,201-500,201-500,3.13,rtech-group,4621303,rtech group,88,267,1,15,Rtech Group,rtech-group,India,"Gurgaon/Gurugram,Haryana",6,gurgaon,282043,7,Real Estate,0
5331,501-1000,51-200,2.76,sovereign-health,Private,Sovereign Health,88,103,2,13,Sovereign Health,sovereign-health,United States,San Clemente,0,,231194,2,Fitness & Wellness,0
5332,1001-5000,501-1000,4.36,viveks,Private,Viveks,88,331,2,57,Viveks,viveks,India,"Chennai,Tamil Nadu",7,chennai,265962,6,"Internet,Retail",0
5333,201-500,201-500,3.33,atidiv,Private,Atidiv,88,438,5,13,Atidiv,atidiv,India,"Pune,Maharashtra",2,pune,164234,0,"Internet,BPO / Call Centre,IT Services & Consulting,Software Product,Content Development / Language,Management Consulting",0
5334,1001-5000,11-50,3.98,kef-infrastructure-india,Private,KEF Infrastructure India Pvt Ltd,88,131,0,9,Kef Infrastructure India,kef-infrastructure-india,India,Bangalore,0,bengaluru,284036,7,"Real Estate,Engineering & Construction",0
5335,201-500,51-200,3.2800000000000002,enhance-business-solutions,Private,enhance business solutions,88,257,2,8,Enhance Business Solutions,enhance-business-solutions,India,Gurgaon,7,gurgaon,303348,3,IT Services & Consulting,0
5336,10001-50000,1001-5000,3.74,man-industries,Public,Man Industries,88,579,1,34,Man Industries,man-industries,India,"Mumbai,Maharashtra",2,mumbai,436397,7,"Import & Export,Industrial Equipment / Machinery,Metals & Mining",0
5337,51-200,51-200,4.04,pharmarack-technologies,Private,Pharmarack technologies Pvt ltd,88,427,3,7,Pharmarack Technologies,pharmarack-technologies-286659,India,"Pune,Maharashtra",4,,286659,13,"Internet,IT Services & Consulting",0
5338,201-500,201-500,4.01,tata-autocomp-gy-batteries-ltd-dot,Private,Tata Autocomp GY Batteries Ltd.,88,357,3,17,Tata Autocomp GY Batteries,tata-autocomp-gy-batteries-ltd-dot,India,Pune,0,pune,263648,20,"Automobile,Manufacturing,Auto Components",0
5339,10001-50000,11-50,3.79,melco,Private,MELCO,88,292,0,27,MELCO,melco,India,Faridabad,0,faridabad,221743,18,"Import & Export,Industrial Equipment / Machinery,Manufacturing,Metals & Mining",0
5340,501-1000,51-200,2.76,sovereign-health,Private,Sovereign Health,88,103,2,13,Sovereign Health,sovereign-health,United States,San Clemente,0,,231194,2,Fitness & Wellness,0
5341,10001-50000,51-200,4.34,axalta-coating-systems,Private,Axalta Coating Systems,88,399,1,9,Axalta Coating Systems,axalta-coating-systems,United States (USA),"Philadelphia,New South Wales",0,,219367,16,Chemicals,0
5342,1001-5000,501-1000,4.36,viveks,Private,Viveks,88,331,2,57,Viveks,viveks,India,"Chennai,Tamil Nadu",7,chennai,265962,6,"Internet,Retail",0
5343,501-1000,501-1000,3.95,automotive-robotics,Private,Automotive Robotics (India) Pvt Ltd,88,746,6,16,Automotive Robotics (India),automotive-robotics,United States,"East Peoria,Illinois",50,,305743,3,"Industrial Equipment / Machinery,Industrial Automation",0
5344,201-500,201-500,4.13,droom,Private,Droom,88,566,2,8,Droom,droom-643,India,"Gurgaon,Haryana",27,,643,2,Internet,0
5345,1001-5000,1001-5000,3.74,malayala-manorama,Private,Malayala Manorama,88,503,1,134,Malayala Manorama,malayala-manorama,India,Kottayam,4,kottayam,7952,17,"Media & Entertainment / Publishing,Printing & Publishing",0
5346,201-500,51-200,3.2800000000000002,enhance-business-solutions,Private,enhance business solutions,88,257,2,8,Enhance Business Solutions,enhance-business-solutions,India,Gurgaon,7,gurgaon,303348,3,IT Services & Consulting,0
5347,1001-5000,11-50,3.98,kef-infrastructure-india,Private,KEF Infrastructure India Pvt Ltd,88,131,0,9,Kef Infrastructure India,kef-infrastructure-india,India,Bangalore,0,bengaluru,284036,7,"Real Estate,Engineering & Construction",0
5348,51-200,51-200,4.04,pharmarack-technologies,Private,Pharmarack technologies Pvt ltd,88,427,3,7,Pharmarack Technologies,pharmarack-technologies-286659,India,"Pune,Maharashtra",4,,286659,13,"Internet,IT Services & Consulting",0
5349,1001-5000,,4.17,faber-sindoori-management-services,,Faber Sindoori Management Services,88,304,2,15,Faber Sindoori Management Services,faber-sindoori-management-services,India,Chennai,0,chennai,234096,15,Facility Management Services,0
5350,1001-5000,1001-5000,3.32,asia-motorworks,Private,Asia MotorWorks,88,156,1,20,Asia Motor Works,asia-motorworks,India,Mumbai,0,mumbai,9815,12,"Automobile,Auto Components",0
5351,51-200,501-1000,3.75,emudhra,Private,eMudhra,88,682,3,14,eMudhra,emudhra,India,"Bangalore/Bengaluru,Karnataka",0,bengaluru,9980,13,IT Services & Consulting,0
5352,51-200,201-500,4.01,innovationm,Private,InnovationM,88,260,4,12,InnovationM,innovationm,India,"Noida,Uttar Pradesh",55,noida,6407,2,"Hardware & Networking,IT Services & Consulting,Software Product",0
5353,,51-200,3.87,tvs-upasana-engineering-pvt-ltd,Public,TVS Upasana Engineering Pvt Ltd,88,328,3,37,TVS Upasana Engineering,tvs-upasana-engineering-pvt-ltd,India,"Chennai,Tamil Nadu",0,chennai,512863,1,Automobile,0
5354,10001-50000,1001-5000,3.74,man-industries,Public,Man Industries,88,579,1,34,Man Industries,man-industries,India,"Mumbai,Maharashtra",2,mumbai,436397,7,"Import & Export,Industrial Equipment / Machinery,Metals & Mining",0
5355,201-500,201-500,3.26,olectra-greentech,Public,Olectra Greentech,88,451,2,30,Olectra Greentech,olectra-greentech,India,"Hyderabad/Secunderabad,Telangana",3,hyderabad,501094,7,Auto Components,0
5356,,1001-5000,3.85,tessolve-semiconductor,,Tessolve Semiconductor,88,958,7,18,Tessolve Semiconductor,tessolve-semiconductor,India,"Bangalore/Bengaluru,Karnataka",90,bengaluru,264227,5,Electronic Components / Semiconductors,0
5357,1001-5000,1001-5000,4.39,ace-creative-learning,Private,Ace Creative Learning,88,297,0,24,Ace Creative Learning,ace-creative-learning,India,Bangalore,4,bengaluru,10018,11,"Education / Training,e-Learning / EdTech",0
5358,51-200,51-200,4.51,labdhi-lifestyle,Public,Labdhi Lifestyle,88,87,1,8,Labdhi Lifestyle,labdhi-lifestyle,India,"Mumbai,Maharashtra",12,mumbai,371087,1,Real Estate,0
5359,201-500,201-500,4.6,cloudmoyo,Private,CloudMoyo,88,553,4,7,CloudMoyo,cloudmoyo,United States (USA),"Bellevue,Washington",10,,29660,0,"Hardware & Networking,IT Services & Consulting,Software Product",0
5360,201-500,201-500,3.64,g-cube-solutions,Private,G-Cube Solutions,88,449,2,22,G-Cube Solutions,g-cube,India,Noida,37,noida,252484,3,"Education / Training,e-Learning / EdTech",0
5361,,1001-5000,3.88,kia,,Kia,88,546,7,0,Kia,,South Korea,Seoul,1,,581863,16,Automobile,0
5362,10001-50000,201-500,3.4,marquardt,Private,Marquardt,88,559,4,26,Marquardt,marquardt,Germany,Rietheim-Weilheim,30,,23275,2,Auto Components,0
5363,501-1000,,3.86,cosmos-impex,Private,Cosmos Impex,87,383,2,35,Cosmos Impex,ratnagiri-impex,India,Vadodara,14,vadodara,2999,17,"Industrial Equipment / Machinery,Manufacturing",0
5364,1001-5000,51-200,3.47,sajjan-india,Public,Sajjan India,87,553,6,117,Sajjan India,sajjan-india,India,Mumbai,0,mumbai,20038,3,"Chemicals / Agri Inputs,Manufacturing,Chemicals",0
5365,10001-50000,51-200,3.9,vwr-international,Private,VWR International,87,533,3,170,VWR International,vwr-international,United States (USA),"Radnor,Pennsylvania",0,,4660,0,"Biotech & Life sciences,Retail,Pharmaceutical & Life Sciences",0
5366,51-200,51-200,4.43,unistal-systems,Private,Unistal Systems,87,180,3,28,Unistal Systems,unistal-systems,India,"Delhi/NCR,Delhi",3,delhi-ncr,162397,3,"Hardware & Networking,Software Product",0
5367,1001-5000,201-500,3.73,rishabh-instruments,84498,Rishabh Instruments,87,381,4,37,Rishabh Instruments,rishabh-instruments,India,"Nasik/Nashik,Maharashtra",4,nashik,201845,11,"Manufacturing,Electronics,Electronics Manufacturing",0
5368,10001-50000,11-50,4.04,sai-service-station,Private,Sai Service Station,87,339,0,37,Sai Service Station,sai-service-station,India,"Mumbai,Maharashtra",0,mumbai,18581,10,"Automobile,Retail,Auto Components",0
5369,51-200,,3.62,chrysalis-high,Private,Chrysalis High,87,332,2,12,Chrysalis High,chrysalis-high,India,"Bangalore/Bengaluru,Karnataka",1,bengaluru,221747,0,Education / Training,0
5370,201-500,501-1000,3.88,kamdhenu,Public,Kamdhenu,87,335,0,27,Kamdhenu,kamdhenu,India,Alwar,0,alwar,227510,22,"Building Material,Iron & Steel,Manufacturing",0
5371,5001-10000,,4.07,gulf-petrochemical-services,,Gulf Petrochemical Services,87,197,4,39,Gulf Petrochemical Services & Trading,gulf-petrochemical-services,Oman,Muscat,0,,202009,1,"Oil / Gas / Petro Chemicals,Petrochemical / Plastics / Rubber",0
5372,11-50,51-200,4.08,modern-foods,Public,Modern Foods,87,328,3,57,Modern Foods,modern-foods,India,"Gurgaon/Gurugram,Haryana",0,gurgaon,237119,17,"Food Processing,Manufacturing",0
5373,,201-500,4.13,abu-dhabi-commercial-bank,,Abu Dhabi Commercial Bank,87,382,4,37,Abu Dhabi Commercial Bank,abu-dhabi-commercial-bank,United Arab Emirates (UAE),Abu Dhabi,0,,234651,4,"Financial Services,Banking",0
5374,10001-50000,11-50,4.11,ray-engineering,,ray engineering limited,87,335,1,16,Ray Engineering,ray-engineering,India,Mumbai,0,mumbai,291027,11,Engineering & Construction,0
5375,1001-5000,201-500,4.31,baazar-style-retail,Private,BAAZAR STYLE RETAIL PVT LTD,87,264,8,9,Baazar Style Retail ,baazar-style-retail,India,Howrah,0,howrah,288628,21,Textile & Apparel,0
5376,501-1000,201-500,4.44,kryfs-power-components-ltd,Private,KRYFS POWER COMPONENTS LTD,87,320,3,30,KRYFS POWER COMPONENTS,kryfs-power-components-ltd,India,Mumbai,4,mumbai,279538,10,"Iron & Steel,Industrial Equipment / Machinery,Power",0
5377,201-500,201-500,3.9699999999999998,atc-tires-pvt-dot-ltd,Private,ATC Tires Pvt. Ltd,87,422,2,15,ATC Tires,atc-tires-pvt-dot-ltd,India,Mumbai,0,mumbai,279649,11,Auto Components,0
5378,1001-5000,11-50,3.69,mycar,Private,MyCar,87,285,0,17,MyCar,mycar,India,Pune,3,pune,192483,15,Automobile,0
5379,501-1000,501-1000,4.36,learning-links-foundation,1387972,Learning Links Foundation,87,310,3,20,Learning Links Foundation,learning-links-foundation,India,"Delhi/NCR,Delhi",7,delhi-ncr,267095,23,e-Learning / EdTech,0
5380,201-500,,4.15,gao-tek,,GAO Tek,87,50,6,17,GAO Tek,gao-tek,United States,New York,2,,203090,9,Electronics Manufacturing,0
5381,,51-200,4.14,maxinfra,Private,Maxinfra,87,315,7,47,Maxinfra,maxinfra,India,Hyderabad,0,hyderabad,332332,7,"Real Estate,Engineering & Construction",0
5382,501-1000,501-1000,3.2,shahnaz-husain-group-of-companies,893780,shahnaz husain group of companies,87,207,5,52,Shahnaz Husain Group Of Companies,shahnaz-husain-group-of-companies,India,New Delhi,0,new-delhi,332969,12,Beauty & Personal Care,0
5383,1001-5000,501-1000,4.05,calderys-india-refractories,Private,calderys india refractories ltd,87,349,8,114,Calderys India Refractories,calderys-india-refractories,France,Paris,1,,292801,11,Metals & Mining,0
5384,1001-5000,201-500,4.34,transpek-silox-industry,Public,Transpek silox industry private limited,87,493,1,21,Transpek-silox Industry,transpek-silox-industry,India,"Vadodara/Baroda,Gujarat",1,vadodara,293836,3,"Chemicals / Agri Inputs,Manufacturing,Chemicals",0
5385,,501-1000,4.06,dogus-soma-jv-office,,DOGUS SOMA JV Office,87,392,5,0,DOGUS SOMA JV Office,dogus-soma-jv-office,India,"Mumbai,Maharashtra",0,mumbai,352876,1,Engineering & Construction,0
5386,1001-5000,201-500,4.37,tpf-engineering-pvt-ltd-dot,Private,TPF Engineering Pvt Ltd.,87,264,1,58,TPF Engineering,tpf-engineering-pvt-ltd-dot,India,"Navi Mumbai,Maharashtra",3,navi-mumbai,399191,15,"Consulting,Engineering & Construction",0
5387,201-500,201-500,3.41,liugong,Private,liugong india pvt. ltd,87,459,6,64,Liugong India,liugong,India,"Delhi/NCR,Delhi",0,delhi-ncr,298779,11,Engineering & Construction,0
5388,201-500,51-200,3.41,kinetic-taigene-electrical-company,Private,KINETIC TAIGENE ELECTRICAL COMPANY,87,183,3,21,KINETIC TAIGENE ELECTRICAL COMPANY,kinetic-taigene-electrical-company,India,Pune,0,pune,299445,1,"Industrial Equipment / Machinery,Electrical Equipment",0
5389,10001-50000,201-500,4.23,teamspace-financial-services,Private,TeamSpace Financial services Pvt ltd,87,476,1,18,Teamspace Financial Services,teamspace-financial-services,India,"Mumbai,Maharashtra",10,mumbai,300769,32,Financial Services,0
5390,201-500,201-500,4.02,paranjape-schemes-construction-ltd-dot,Private,Paranjape Schemes Construction Ltd.,87,437,2,92,Paranjape Schemes Construction,paranjape-schemes-construction-ltd-dot,India,"Pune,Maharashtra",5,pune,249020,6,"Real Estate,Engineering & Construction",0
5391,,501-1000,4.44,labcorp,,LabCorp,87,729,9,0,LabCorp,labcorp,United States,Burlington,0,,175295,5,Analytics / KPO / Research,0
5392,51-200,51-200,4.0,evio,Private,EVIO,87,398,2,11,EVIO,evio,India,"Mumbai,Maharashtra",10,mumbai,186588,5,"Consulting,Power,Engineering & Construction",0
5393,201-500,1001-5000,3.74,dynamic-beneficial-accord-marketing,Private,Dynamic Beneficial Accord Marketing,87,304,5,11,Dynamic Beneficial Accord Marketing,dynamic-beneficial-accord-marketing,India,"Chandigarh,Chandigarh",0,chandigarh,188127,27,"Financial Services,Internet",0
5394,501-1000,501-1000,3.65,sara-suole,Private,Sara Suole,87,243,0,21,Sara Suole,sara-suole,India,"Bangalore/Bengaluru,Karnataka",0,bengaluru,184515,12,"Retail,Textile & Apparel",0
5395,,501-1000,3.46,sri-ranganathar-industries,,Sri Ranganathar Industries,87,429,1,40,Sri Ranganathar Industries,sri-ranganathar-industries,India,Coimbatore,0,coimbatore,185573,2,"Industrial Equipment / Machinery,Manufacturing",0
5396,501-1000,51-200,3.58,gulf-contracting,Private,Gulf Contracting,87,116,2,46,Gulf Contracting,gulf-contracting,Qatar,Doha,0,,7758,6,"Architecture / Interior Design,Engineering & Construction",0
5397,201-500,201-500,4.06,sage-publications,Private,SAGE Publications,87,376,2,57,SAGE Publications,sage-publications,United States,Thousand Oaks,6,,9576,4,"Media & Entertainment / Publishing,Printing & Publishing",0
5398,,,4.41,optum-global-solution,,optum global solution,87,159,0,0,optum global solution,,,,0,,321099,4,IT Services & Consulting,0
5399,,51-200,4.14,maxinfra,Private,Maxinfra,87,315,7,47,Maxinfra,maxinfra,India,Hyderabad,0,hyderabad,332332,7,"Real Estate,Engineering & Construction",0
5400,501-1000,501-1000,3.2,shahnaz-husain-group-of-companies,893780,shahnaz husain group of companies,87,207,5,52,Shahnaz Husain Group Of Companies,shahnaz-husain-group-of-companies,India,New Delhi,0,new-delhi,332969,12,Beauty & Personal Care,0
5401,,501-1000,4.06,dogus-soma-jv-office,,DOGUS SOMA JV Office,87,392,5,0,DOGUS SOMA JV Office,dogus-soma-jv-office,India,"Mumbai,Maharashtra",0,mumbai,352876,1,Engineering & Construction,0
5402,501-1000,201-500,3.39,mapro-foods,Private,Mapro Foods,87,221,1,63,Mapro Foods,mapro-foods,India,"Mahabaleshwar,Maharashtra",0,mahabaleshwar-maharashtra,23231,24,"FMCG,Food Processing",0
5403,51-200,201-500,3.99,niit-foundation,Private,Niit Foundation,87,321,2,18,Niit Foundation,niit-foundation,India,New Delhi,1,new-delhi,23281,15,"NGO / Social Services / Industry Associations,IT Services & Consulting",0
5404,201-500,51-200,3.44,viraj-projects,Private,Viraj Projects,87,221,3,21,Viraj Projects,viraj-projects,India,Pune,0,pune,33625,6,"Architecture / Interior Design,Real Estate,Engineering & Construction",0
5405,#N/A,1001-5000,3.75,lokmat-media,Private,Lokmat Media,87,455,1,51,Lokmat Media,lokmat-media,India,Mumbai,17,mumbai,7956,18,"Media & Entertainment / Publishing,Printing & Publishing",0
5406,201-500,201-500,3.41,liugong,Private,liugong india pvt. ltd,87,459,6,64,Liugong India,liugong,India,"Delhi/NCR,Delhi",0,delhi-ncr,298779,11,Engineering & Construction,0
5407,201-500,51-200,3.41,kinetic-taigene-electrical-company,Private,KINETIC TAIGENE ELECTRICAL COMPANY,87,183,3,21,KINETIC TAIGENE ELECTRICAL COMPANY,kinetic-taigene-electrical-company,India,Pune,0,pune,299445,1,"Industrial Equipment / Machinery,Electrical Equipment",0
5408,10001-50000,201-500,4.23,teamspace-financial-services,Private,TeamSpace Financial services Pvt ltd,87,476,1,18,Teamspace Financial Services,teamspace-financial-services,India,"Mumbai,Maharashtra",10,mumbai,300769,32,Financial Services,0
5409,51-200,201-500,3.5,j-mitra,Private,J. Mitra,87,267,4,53,J Mitra And Co,j-mitra,India,"Delhi/NCR,Delhi",0,delhi-ncr,295841,15,"Biotechnology,Medical Devices & Equipment",0
5410,501-1000,,3.59,stellar-innovations,Private,Stellar Innovations,87,571,7,6,Stellar Innovations,stellar-innovations,United States (USA),"Dayton,OH",0,,454413,3,IT Services & Consulting,0
5411,11-50,51-200,4.08,modern-foods,Public,Modern Foods,87,328,3,57,Modern Foods,modern-foods,India,"Gurgaon/Gurugram,Haryana",0,gurgaon,237119,17,"Food Processing,Manufacturing",0
5412,,201-500,4.13,abu-dhabi-commercial-bank,,Abu Dhabi Commercial Bank,87,382,4,37,Abu Dhabi Commercial Bank,abu-dhabi-commercial-bank,United Arab Emirates (UAE),Abu Dhabi,0,,234651,4,"Financial Services,Banking",0
5413,51-200,,3.62,chrysalis-high,Private,Chrysalis High,87,332,2,12,Chrysalis High,chrysalis-high,India,"Bangalore/Bengaluru,Karnataka",1,bengaluru,221747,0,Education / Training,0
5414,201-500,501-1000,3.88,kamdhenu,Public,Kamdhenu,87,335,0,27,Kamdhenu,kamdhenu,India,Alwar,0,alwar,227510,22,"Building Material,Iron & Steel,Manufacturing",0
5415,1001-5000,5001-10000,4.48,aligarh-muslim-university,Private,Aligarh Muslim University,87,194,1,145,Aligarh Muslim University,aligarh-muslim-university,India,Aligarh,0,aligarh,14839,5,Education / Training,0
5416,1001-5000,,3.76,sanmar-group,Public,Sanmar Group,87,404,5,50,Sanmar Group,sanmar-group,India,Chennai,0,chennai,5981,12,"Chemicals / Agri Inputs,Manufacturing,Chemicals",0
5417,1001-5000,201-500,3.79,cohnreznick,Private,CohnReznick,87,479,9,103,CohnReznick,cohnreznick,US,"New York,New York",2,,15421,1,FinTech / Payments,0
5418,501-1000,201-500,3.44,maneesh-pharmaceuticals,Private,Maneesh Pharmaceuticals,87,338,2,47,Maneesh Pharmaceuticals,maneesh-pharmaceuticals,India,"Mumbai,Maharashtra",9,mumbai,8650,8,"Biotech & Life sciences,Pharmaceutical & Life Sciences",0
5419,201-500,201-500,4.06,sage-publications,Private,SAGE Publications,87,376,2,57,SAGE Publications,sage-publications,United States,Thousand Oaks,6,,9576,4,"Media & Entertainment / Publishing,Printing & Publishing",0
5420,501-1000,51-200,3.58,gulf-contracting,Private,Gulf Contracting,87,116,2,46,Gulf Contracting,gulf-contracting,Qatar,Doha,0,,7758,6,"Architecture / Interior Design,Engineering & Construction",0
5421,501-1000,201-500,3.5700000000000003,rategain,Private,RateGain,87,565,4,18,RateGain,rategain,United Kingdom,"London,England",58,,12219,2,"Internet,Hardware & Networking,Software Product",0
5422,1001-5000,201-500,4.37,tpf-engineering-pvt-ltd-dot,Private,TPF Engineering Pvt Ltd.,87,264,1,58,TPF Engineering,tpf-engineering-pvt-ltd-dot,India,"Navi Mumbai,Maharashtra",3,navi-mumbai,399191,15,"Consulting,Engineering & Construction",0
5423,501-1000,,3.27,revokarmahub-software-and-services,4689107,RevoKarmaHub Software And Services Pvt Ltd.,87,158,0,7,RevoKarmaHub Software And Services,revokarmahub-software-and-services,India,"Vadodara/Baroda,Gujarat",-2,vadodara,314169,0,"IT Services & Consulting,Software Product",0
5424,501-1000,51-200,3.85,pulse-pharmaceuticals,,Pulse Pharmaceuticals,87,350,2,25,Pulse Pharmaceuticals,pulse-pharmaceuticals,India,Hyderabad,13,hyderabad,251258,11,Pharmaceutical & Life Sciences,0
5425,,,3.34,google-operations-center,,Google Operations Center,87,697,9,0,Google Operations Center,google-operations-center,,,0,,697779,10,,0
5426,501-1000,501-1000,3.77,aranca,Private,Aranca,87,464,0,19,Aranca,aranca,India,"Mumbai,Maharashtra",46,mumbai,12188,1,"Consulting,Analytics / KPO / Research",0
5427,201-500,51-200,4.57,datatrained,LLP,DataTrained,87,155,9,10,DataTrained,datatrained-527095,India,"Bangalore,Karnataka",69,,527095,0,"Internet,e-Learning / EdTech",0
5428,5001-10000,201-500,3.4,lycatel-bpo,Private,Lycatel BPO,87,403,1,16,Lycatel BPO,lycatel,United Kingdom,London,3,,213524,2,"BPO/KPO,BPO / Call Centre",0
5429,501-1000,,3.27,revokarmahub-software-and-services,4689107,RevoKarmaHub Software And Services Pvt Ltd.,87,158,0,7,RevoKarmaHub Software And Services,revokarmahub-software-and-services,India,"Vadodara/Baroda,Gujarat",-2,vadodara,314169,0,"IT Services & Consulting,Software Product",0
5430,10001-50000,1001-5000,3.94,malabar-group-of-companies,Private,Malabar Group Of Companies,87,361,2,29,Malabar Group Of Companies,malabar-group-of-companies,India,"Calicut/Kozhikode,Kerala",13,kozhikode,260521,20,"Consumer goods,Gems & Jewellery,Real Estate",0
5431,,,3.34,google-operations-center,,Google Operations Center,87,697,9,0,Google Operations Center,google-operations-center,,,0,,697779,10,,0
5432,501-1000,,3.59,stellar-innovations,Private,Stellar Innovations,87,571,7,6,Stellar Innovations,stellar-innovations,United States (USA),"Dayton,OH",0,,454413,3,IT Services & Consulting,0
5433,5001-10000,51-200,4.55,ministry-of-home-affairs,Private,Ministry of Home Affairs,97,321,3,75,Ministry of Home Affairs,ministry-of-home-affairs,India,New Delhi,0,new-delhi,7745,10,"Federal Agencies,Government / Public Administration",0
5434,50001-100000,501-1000,3.54,rolls-royce,Private,Rolls-Royce,86,453,12,23,Rolls-Royce,rolls-royce,India,"Delhi/NCR,New Delhi",1,london,208,6,"Automobile,Manufacturing",0
5435,201-500,201-500,3.8200000000000003,thermal-systems,Private,THERMAL SYSTEMS,86,320,5,37,THERMAL SYSTEMS,thermal-systems,India,"Hyderabad/Secunderabad,Telangana",12,hyderabad,255844,0,"Industrial Equipment / Machinery,Engineering & Construction",0
5436,501-1000,201-500,3.69,tecnotree-convergence,Private,Tecnotree Convergence,86,619,0,44,Tecnotree Convergence,tecnotree-convergence,Finland,"Espoo,Uusimaa",116,,221653,0,"Internet,Telecom / ISP,IT Services & Consulting",0
5437,10001-50000,,3.61,forever-21,Private,Forever 21,86,177,2,38,Forever 21,forever-21,United States (USA),"Los Angeles,California",0,,24626,18,"Retail,Textile & Apparel",0
5438,100001+,1001-5000,3.84,hilton-garden-inn,Private,Hilton Garden Inn,86,250,2,26,Hilton Garden Inn,hilton-garden-inn,United States,Lancaster,4,,15393,9,Hotels & Restaurants,0
5439,201-500,201-500,3.7199999999999998,bluestonecom,Private,Bluestone.com,86,431,1,11,Bluestone.com,bluestonecom-19154,India,"Bangalore,Karnataka",3,,19154,15,"Gems & Jewellery,Internet",0
