,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
1870,201-500,1001-5000,3.7199999999999998,rsb-transmissions,,RSB Transmissions,244,915,3,48,RSB Transmissions,rsb-transmission-i,India,Pune,0,pune,408483,12,"Automobile,Design,Industrial Equipment / Machinery,Manufacturing",0
1871,5001-10000,501-1000,3.59,competent-synergies,Private,Competent Synergies,244,933,4,27,Competent Synergies,competent-synergies,India,"Chandigarh,Haryana",1,,3148,21,"BPO/KPO,BPO / Call Centre",0
1872,201-500,201-500,4.06,honda-logistics,Private,Honda Logistics,244,784,11,17,Honda Logistics,honda-logistics,India,"Alwar,Rajasthan",3,alwar,280664,20,"Logistics / Shipping,Courier / Logistics",0
1873,10001-50000,10001-50000,3.87,essel-group,Private,Essel Group,3106,640,2,96,Essel Group,essel-group,India,Mumbai,0,mumbai,155684,34,"Financial Services,Media & Entertainment / Publishing,Metals & Mining,Film / Music / Entertainment",0
1874,501-1000,,3.76,gd-goenka-public-school,Private,GD Goenka Public School,243,928,7,28,GD Goenka Public School,gd-goenka-public-school,India,"Gurgaon/Gurugram,Haryana",3,gurgaon,29348,37,Education / Training,0
1875,1001-5000,1001-5000,3.63,majesco,Public,Majesco,243,2380,8,40,Majesco,majesco,United States (USA),Morristown,186,,154865,4,"Analytics / KPO / Research,IT Services & Consulting",0
1876,1001-5000,501-1000,3.55,advantmed,Private,Advantmed,243,1084,8,17,Advantmed,advantmed,United States (USA),"Santa Ana,California",12,,160852,4,Software Product,0
1877,501-1000,501-1000,3.84,voyants-solutions,Private,Voyants Solutions,243,905,13,18,Voyants Solutions,voyants-solutions,India,Gurgaon,16,gurgaon,5829,40,"Consulting,Engineering & Construction",0
1878,501-1000,1001-5000,4.39,agrostar,,Agrostar,243,683,20,14,Agrostar,agrostar-152574,India,"Pune,Maharashtra",68,,152574,19,"Agriculture / Forestry / Fishing,Internet",0
1879,5001-10000,201-500,3.83,hajee-a-p-bava-construction,Private,Hajee A P Bava Construction,243,702,2,72,Hajee A P Bava Construction,hajee-a-p-bava-construction,India,"Bangalore/Bengaluru,Karnataka",6,bengaluru,222781,35,Engineering & Construction,0
1880,10001-50000,1001-5000,3.8,dst-systems,Private,DST Systems,243,1282,3,53,DST Systems,dst-systems,United States (USA),"Windsor,Connecticut",27,,385125,4,"Financial Services,IT Services & Consulting",0
1881,100001+,100001+,4.5,central-reserve-police-force,Govt Organisation,Central Reserve Police Force,242,584,1,83,Central Reserve Police Force,central-reserve-police-force,India,"Delhi/NCR,New Delhi",0,,9899,47,"Federal Agencies,Government / Public Administration",0
